ﾕﾆﾊﾞｰｻﾙ ｽﾀｯｸID1,側壁板LH_ 組立隙間測定_upr1,側壁板LH_ 組立隙間測定_upr2,側壁板LH_ 組立隙間測定_lwr1,側壁板LH_ 組立隙間測定_lwr2,側壁板LH 組立隙間測定_GAP判定,側壁板_ﾚｰｻﾞｰ溶接出力(2か所),側壁板_ﾚｰｻﾞｰ溶接時間(2か所),側壁板LH溶接_LWM判定,側壁板溶接_通電抵抗値検査_上限値,側壁板溶接_通電抵抗値検査_下限値,パワーメーター測定_#1_結果,パワーメーター測定_#1_上限,パワーメーター測定_#1_下限,パワーメーター測定_#2_結果,パワーメーター測定_#2_上限,パワーメーター測定_#2_下限,側壁板RH_ 組立隙間測定_upr1,側壁板RH_ 組立隙間測定_upr2,側壁板RH_ 組立隙間測定_lwr1,側壁板RH_ 組立隙間測定_lwr2,側壁板RH 組立隙間測定_GAP判定,ﾕﾆﾊﾞｰｻﾙｽﾀｯｸ再投入回数,側壁板_ﾚｰｻﾞｰ溶接出力(2か所)1,側壁板_ﾚｰｻﾞｰ溶接時間(2か所)1,側壁板RH溶接_LWM判定,側壁板LH溶接_通電抵抗値検査_実施時刻・時間,側壁板LH溶接_通電抵抗_upr_R1,側壁板LH溶接_通電抵抗_upr_R2,側壁板LH溶接_通電抵抗_upr_R3,側壁板LH溶接_通電抵抗_upr_R4,側壁板LH溶接_通電抵抗_upr_R5,側壁板LH溶接_通電抵抗_upr_R6,側壁板LH溶接_通電抵抗_lwr_R1,側壁板LH溶接_通電抵抗_lwr_R2,側壁板LH溶接_通電抵抗_lwr_R3,側壁板LH溶接_通電抵抗_lwr_R4,側壁板LH溶接_通電抵抗_lwr_R5,側壁板LH溶接_通電抵抗_lwr_R6,側壁板LH溶接_通電抵抗_検査判定OK,側壁板RH溶接_通電抵抗値検査_実施時刻・時間,側壁板RH溶接_通電抵抗_upr_R1,側壁板RH溶接_通電抵抗_upr_R2,側壁板RH溶接_通電抵抗_upr_R3,側壁板RH溶接_通電抵抗_upr_R4,側壁板RH溶接_通電抵抗_upr_R5,側壁板RH溶接_通電抵抗_upr_R6,側壁板RH溶接_通電抵抗_lwr_R1,側壁板RH溶接_通電抵抗_lwr_R2,側壁板RH溶接_通電抵抗_lwr_R3,側壁板RH溶接_通電抵抗_lwr_R4,側壁板RH溶接_通電抵抗_lwr_R5,側壁板RH溶接_通電抵抗_lwr_R6,側壁板RH溶接_通電抵抗_検査判定OK,側壁板_upr_溶接_通電抵抗検査用プローブピン使用回数,側壁板_lwr_溶接_通電抵抗検査用プローブピン使用回数
295B95SF1C0JU22186001387L,12,17,6,7,1,1025,37,1,270,10,9680,10000,9500,12986,13500,12800,24,13,11,9,1,0,1025,37,1,2.11E+11,189,99,107,95,193,0,195,102,102,100,243,0,1,2.11E+11,196,107,115,99,186,0,210,104,102,103,252,0,1,40074,239205
295B95SF1C0JU221860B1375L,15,24,6,14,1,1024,37,1,270,10,9680,10000,9500,12986,13500,12800,23,9,6,8,1,0,1026,37,1,2.11E+11,188,97,101,95,193,0,194,110,102,101,249,0,1,2.11E+11,194,101,111,100,181,0,204,104,101,101,234,0,1,40048,239178
295B95SF1C0JU221860B1378L,14,25,6,9,1,1027,37,1,270,10,9680,10000,9500,12986,13500,12800,24,12,9,12,1,0,1026,37,1,2.11E+11,193,97,104,94,195,0,195,97,96,99,250,0,1,2.11E+11,196,103,110,97,186,0,208,104,103,99,238,0,1,40060,239191
295B95SF1C0JU22186001386L,12,16,6,7,1,1024,37,1,270,10,9680,10000,9500,12986,13500,12800,24,8,13,9,1,0,1025,37,1,2.11E+11,188,100,108,96,195,0,202,107,103,100,242,0,1,2.11E+11,198,103,113,101,187,0,208,104,104,101,245,0,1,40070,239201
295B95SF1C0JU22186001384L,13,25,6,11,1,1024,37,1,270,10,9680,10000,9500,12986,13500,12800,25,8,12,11,1,0,1025,37,1,2.11E+11,191,98,108,95,198,0,198,107,102,103,254,0,1,2.11E+11,197,102,111,97,181,0,208,104,106,99,246,0,1,40062,239193
295B95SF1C0JU22186001385L,10,17,6,15,1,1025,37,1,270,10,9680,10000,9500,12986,13500,12800,24,7,10,10,1,0,1026,37,1,2.11E+11,192,98,104,94,195,0,192,111,107,102,253,0,1,2.11E+11,197,105,112,101,187,0,208,102,104,100,237,0,1,40066,239197
295B95SF1C0JU22186001389L,14,20,6,8,1,1024,37,1,270,10,9680,10000,9500,12986,13500,12800,24,7,9,10,1,0,1025,37,1,2.11E+11,192,98,107,94,191,0,197,106,102,100,246,0,1,2.11E+11,202,102,110,100,190,0,210,109,108,98,240,0,1,40082,239213
295B95SF1C0JU22186001403L,12,21,6,9,1,1024,37,1,270,10,9680,10000,9500,12986,13500,12800,24,9,8,10,1,0,1024,37,1,2.11E+11,188,100,108,97,192,0,195,106,106,101,246,0,1,2.11E+11,198,104,112,98,184,0,204,106,106,100,239,0,1,40138,239269
295B95SF1C0JU22186001404L,12,17,6,11,1,1024,37,1,270,10,9680,10000,9500,12986,13500,12800,24,8,8,9,1,0,1024,37,1,2.11E+11,190,101,106,96,194,0,197,105,105,102,247,0,1,2.11E+11,197,102,111,99,184,0,201,108,102,101,240,0,1,40142,239273
295B95SF1C0JU221860B1376L,16,22,6,15,1,1025,37,1,270,10,9680,10000,9500,12986,13500,12800,25,9,8,11,1,0,1025,37,1,2.11E+11,194,97,105,95,208,0,201,106,106,102,247,0,1,2.11E+11,196,101,111,97,183,0,206,107,104,99,236,0,1,40052,239182
